Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT3,PM10,21/10/2006 00:00,20.00000,ug/m3,R
CT3,PM10,22/10/2006 00:00,15.00000,ug/m3,R
CT3,PM10,23/10/2006 00:00,15.00000,ug/m3,R
CT3,PM10,24/10/2006 00:00,16.00000,ug/m3,R
CT3,PM10,25/10/2006 00:00,19.00000,ug/m3,R
CT3,PM10,26/10/2006 00:00,20.00000,ug/m3,R
CT3,PM10,27/10/2006 00:00,16.00000,ug/m3,R
CT3,PM10,28/10/2006 00:00,17.00000,ug/m3,R
CT3,PM10,29/10/2006 00:00,14.00000,ug/m3,R
CT3,PM10,30/10/2006 00:00,18.00000,ug/m3,R
CT3,PM10,31/10/2006 00:00,10.00000,ug/m3,R
CT3,PM10,01/11/2006 00:00,,ug/m3,R
CT3,PM10,02/11/2006 00:00,,ug/m3,R
CT3,PM10,03/11/2006 00:00,,ug/m3,R
CT3,PM10,04/11/2006 00:00,,ug/m3,R
CT3,PM10,05/11/2006 00:00,,ug/m3,R
CT3,PM10,06/11/2006 00:00,,ug/m3,R
CT3,PM10,07/11/2006 00:00,,ug/m3,R
CT3,PM10,08/11/2006 00:00,,ug/m3,R
CT3,PM10,09/11/2006 00:00,9.00000,ug/m3,R
CT3,PM10,10/11/2006 00:00,23.00000,ug/m3,R
CT3,PM10,11/11/2006 00:00,8.00000,ug/m3,R
CT3,PM10,12/11/2006 00:00,8.00000,ug/m3,R
CT3,PM10,13/11/2006 00:00,7.00000,ug/m3,R
CT3,PM10,14/11/2006 00:00,9.00000,ug/m3,R
CT3,PM10,15/11/2006 00:00,16.00000,ug/m3,R
CT3,PM10,16/11/2006 00:00,13.00000,ug/m3,R
CT3,PM10,17/11/2006 00:00,4.00000,ug/m3,R
CT3,PM10,18/11/2006 00:00,3.00000,ug/m3,R
CT3,PM10,19/11/2006 00:00,3.00000,ug/m3,R
CT3,PM10,20/11/2006 00:00,8.00000,ug/m3,R
CT3,PM10,21/11/2006 00:00,6.00000,ug/m3,R
CT3,PM10,22/11/2006 00:00,9.00000,ug/m3,R
CT3,PM10,23/11/2006 00:00,10.00000,ug/m3,R
CT3,PM10,24/11/2006 00:00,14.00000,ug/m3,R
CT3,PM10,25/11/2006 00:00,5.00000,ug/m3,R
CT3,PM10,26/11/2006 00:00,8.00000,ug/m3,R
CT3,PM10,27/11/2006 00:00,16.00000,ug/m3,R
CT3,PM10,28/11/2006 00:00,15.00000,ug/m3,R
CT3,PM10,29/11/2006 00:00,17.00000,ug/m3,R
CT3,PM10,30/11/2006 00:00,20.00000,ug/m3,R
CT3,PM10,01/12/2006 00:00,11.00000,ug/m3,R
CT3,PM10,02/12/2006 00:00,10.00000,ug/m3,R
CT3,PM10,03/12/2006 00:00,6.00000,ug/m3,R
CT3,PM10,04/12/2006 00:00,9.00000,ug/m3,R
CT3,PM10,05/12/2006 00:00,18.00000,ug/m3,R
CT3,PM10,06/12/2006 00:00,13.00000,ug/m3,R
CT3,PM10,07/12/2006 00:00,9.00000,ug/m3,R
CT3,PM10,08/12/2006 00:00,12.00000,ug/m3,R
CT3,PM10,09/12/2006 00:00,3.00000,ug/m3,R
CT3,PM10,10/12/2006 00:00,7.00000,ug/m3,R
CT3,PM10,11/12/2006 00:00,5.00000,ug/m3,R
CT3,PM10,12/12/2006 00:00,10.00000,ug/m3,R
CT3,PM10,13/12/2006 00:00,8.00000,ug/m3,R
CT3,PM10,14/12/2006 00:00,11.00000,ug/m3,R
CT3,PM10,15/12/2006 00:00,21.00000,ug/m3,R
CT3,PM10,16/12/2006 00:00,8.00000,ug/m3,R
CT3,PM10,17/12/2006 00:00,7.00000,ug/m3,R
CT3,PM10,18/12/2006 00:00,37.00000,ug/m3,R
CT3,PM10,19/12/2006 00:00,42.00000,ug/m3,R
CT3,PM10,20/12/2006 00:00,,ug/m3,R
CT3,PM10,21/12/2006 00:00,,ug/m3,R
CT3,PM10,22/12/2006 00:00,,ug/m3,R
CT3,PM10,23/12/2006 00:00,,ug/m3,R
CT3,PM10,24/12/2006 00:00,,ug/m3,R
CT3,PM10,25/12/2006 00:00,,ug/m3,R
CT3,PM10,26/12/2006 00:00,,ug/m3,R
CT3,PM10,27/12/2006 00:00,18.00000,ug/m3,R
CT3,PM10,28/12/2006 00:00,,ug/m3,R
CT3,PM10,29/12/2006 00:00,13.00000,ug/m3,R
CT3,PM10,30/12/2006 00:00,7.00000,ug/m3,R
CT3,PM10,31/12/2006 00:00,7.00000,ug/m3,R
CT3,PM10,01/01/2007 00:00,4.00000,ug/m3,R
CT3,PM10,02/01/2007 00:00,6.00000,ug/m3,R
CT3,PM10,03/01/2007 00:00,,ug/m3,R
CT3,PM10,04/01/2007 00:00,,ug/m3,R
CT3,PM10,05/01/2007 00:00,,ug/m3,R
CT3,PM10,06/01/2007 00:00,8.00000,ug/m3,R
CT3,PM10,07/01/2007 00:00,8.00000,ug/m3,R
CT3,PM10,08/01/2007 00:00,4.00000,ug/m3,R
CT3,PM10,09/01/2007 00:00,17.00000,ug/m3,R
CT3,PM10,10/01/2007 00:00,10.00000,ug/m3,R
CT3,PM10,11/01/2007 00:00,15.00000,ug/m3,R
CT3,PM10,12/01/2007 00:00,15.00000,ug/m3,R
CT3,PM10,13/01/2007 00:00,1.00000,ug/m3,R
CT3,PM10,14/01/2007 00:00,6.00000,ug/m3,R
CT3,PM10,15/01/2007 00:00,10.00000,ug/m3,R
CT3,PM10,16/01/2007 00:00,11.00000,ug/m3,R
CT3,PM10,17/01/2007 00:00,9.00000,ug/m3,R
CT3,PM10,18/01/2007 00:00,14.00000,ug/m3,R
CT3,PM10,19/01/2007 00:00,10.00000,ug/m3,R
CT3,PM10,20/01/2007 00:00,7.00000,ug/m3,R
CT3,PM10,21/01/2007 00:00,3.00000,ug/m3,R
CT3,PM10,22/01/2007 00:00,11.00000,ug/m3,R
CT3,PM10,23/01/2007 00:00,9.00000,ug/m3,R
CT3,PM10,24/01/2007 00:00,16.00000,ug/m3,R
CT3,PM10,25/01/2007 00:00,21.00000,ug/m3,R
CT3,PM10,26/01/2007 00:00,19.00000,ug/m3,R
CT3,PM10,27/01/2007 00:00,13.00000,ug/m3,R
CT3,PM10,28/01/2007 00:00,2.00000,ug/m3,R
CT3,PM10,29/01/2007 00:00,23.00000,ug/m3,R
CT3,PM10,30/01/2007 00:00,30.00000,ug/m3,R
CT3,PM10,31/01/2007 00:00,16.00000,ug/m3,R
CT3,PM10,01/02/2007 00:00,21.00000,ug/m3,R
CT3,PM10,02/02/2007 00:00,24.00000,ug/m3,R
CT3,PM10,03/02/2007 00:00,21.00000,ug/m3,R
CT3,PM10,04/02/2007 00:00,31.00000,ug/m3,R
CT3,PM10,05/02/2007 00:00,33.00000,ug/m3,R
CT3,PM10,06/02/2007 00:00,27.00000,ug/m3,R
CT3,PM10,07/02/2007 00:00,46.00000,ug/m3,R
CT3,PM10,08/02/2007 00:00,15.00000,ug/m3,R
CT3,PM10,09/02/2007 00:00,21.00000,ug/m3,R
CT3,PM10,10/02/2007 00:00,10.00000,ug/m3,R
CT3,PM10,11/02/2007 00:00,9.00000,ug/m3,R
CT3,PM10,12/02/2007 00:00,8.00000,ug/m3,R
CT3,PM10,13/02/2007 00:00,14.00000,ug/m3,R
CT3,PM10,14/02/2007 00:00,11.00000,ug/m3,R
CT3,PM10,15/02/2007 00:00,18.00000,ug/m3,R
CT3,PM10,16/02/2007 00:00,18.00000,ug/m3,R
CT3,PM10,17/02/2007 00:00,27.00000,ug/m3,R
CT3,PM10,18/02/2007 00:00,13.00000,ug/m3,R
CT3,PM10,19/02/2007 00:00,30.00000,ug/m3,R
CT3,PM10,20/02/2007 00:00,19.00000,ug/m3,R
CT3,PM10,21/02/2007 00:00,15.00000,ug/m3,R
CT3,PM10,22/02/2007 00:00,13.00000,ug/m3,R
CT3,PM10,23/02/2007 00:00,16.00000,ug/m3,R
CT3,PM10,24/02/2007 00:00,11.00000,ug/m3,R
CT3,PM10,25/02/2007 00:00,3.00000,ug/m3,R
CT3,PM10,26/02/2007 00:00,7.00000,ug/m3,R
CT3,PM10,27/02/2007 00:00,8.00000,ug/m3,R
CT3,PM10,28/02/2007 00:00,12.00000,ug/m3,R
CT3,PM10,01/03/2007 00:00,10.00000,ug/m3,R
CT3,PM10,02/03/2007 00:00,9.00000,ug/m3,R
CT3,PM10,03/03/2007 00:00,3.00000,ug/m3,R
CT3,PM10,04/03/2007 00:00,5.00000,ug/m3,R
CT3,PM10,05/03/2007 00:00,9.00000,ug/m3,R
CT3,PM10,06/03/2007 00:00,11.00000,ug/m3,R
CT3,PM10,07/03/2007 00:00,11.00000,ug/m3,R
CT3,PM10,08/03/2007 00:00,20.00000,ug/m3,R
CT3,PM10,09/03/2007 00:00,14.00000,ug/m3,R
CT3,PM10,10/03/2007 00:00,,ug/m3,R
CT3,PM10,11/03/2007 00:00,,ug/m3,R
CT3,PM10,12/03/2007 00:00,,ug/m3,R
CT3,PM10,13/03/2007 00:00,,ug/m3,R
CT3,PM10,14/03/2007 00:00,20.00000,ug/m3,R
CT3,PM10,15/03/2007 00:00,18.00000,ug/m3,R
CT3,PM10,16/03/2007 00:00,17.00000,ug/m3,R
CT3,PM10,17/03/2007 00:00,13.00000,ug/m3,R
CT3,PM10,18/03/2007 00:00,1.00000,ug/m3,R
CT3,PM10,19/03/2007 00:00,6.00000,ug/m3,R
CT3,PM10,20/03/2007 00:00,8.00000,ug/m3,R
CT3,PM10,21/03/2007 00:00,12.00000,ug/m3,R
CT3,PM10,22/03/2007 00:00,19.00000,ug/m3,R
